GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto-Queijos-Finos,com.example.demo.service,ProducerService,103,3,6,0,21,1,9,1,6,1
Projeto-Queijos-Finos,com.example.demo.service,CertificateService,57,3,6,0,10,1,10,1,7,1
Projeto-Queijos-Finos,com.example.demo.service,TechnologyService,186,3,12,0,39,1,16,1,10,1
Projeto-Queijos-Finos,com.example.demo.service,UserService,64,3,4,0,13,1,6,1,4,1
Projeto-Queijos-Finos,com.example.demo.service,DocumentService,44,3,2,0,8,1,6,1,5,1
Projeto-Queijos-Finos,com.example.demo.service,ProducerListService,185,6,24,0,46,3,15,1,3,1
Projeto-Queijos-Finos,com.example.demo.service,TransferService,117,3,4,0,23,1,15,1,13,1
Projeto-Queijos-Finos,com.example.demo.service,LoginService,0,3,0,0,0,1,0,1,0,1
Projeto-Queijos-Finos,com.example.demo.entity.enums,TipoUserPermission,0,21,0,0,0,4,0,1,0,1
Projeto-Queijos-Finos,com.example.demo.entity.enums,TipoCertificado,6,54,0,0,2,10,2,2,2,2
Projeto-Queijos-Finos,com.example.demo.entity.enums,TipoStatusProduction,0,27,0,0,0,5,0,1,0,1
Projeto-Queijos-Finos,com.example.demo.controller,ProducerListController,48,9,0,0,9,4,2,1,2,1
Projeto-Queijos-Finos,com.example.demo.controller,RedirectController,2,3,0,0,1,1,1,1,1,1
Projeto-Queijos-Finos,com.example.demo.controller,UserController,97,10,0,0,25,4,5,2,5,2
Projeto-Queijos-Finos,com.example.demo.controller,DashboardProducer,180,3,0,0,39,1,1,1,1,1
Projeto-Queijos-Finos,com.example.demo.controller,LoginController,35,3,2,0,10,1,3,1,2,1
Projeto-Queijos-Finos,com.example.demo.controller,DashboardProducerData,23,9,0,0,4,4,1,1,1,1
Projeto-Queijos-Finos,com.example.demo.controller,ProducerController,908,6,62,0,242,3,41,1,10,1
Projeto-Queijos-Finos,com.example.demo.controller,TransferController,114,3,0,0,24,1,4,1,4,1
Projeto-Queijos-Finos,com.example.demo.controller,TechnologyController,95,3,0,0,25,1,5,1,5,1
Projeto-Queijos-Finos,com.example.demo.controller,PasswordResetController,34,3,2,0,10,1,3,1,2,1
Projeto-Queijos-Finos,com.example.demo.controller,DocumentController,369,7,16,0,88,2,15,2,7,2
Projeto-Queijos-Finos,com.example.demo.entity,Certificate,84,3,14,0,29,1,17,1,10,1
Projeto-Queijos-Finos,com.example.demo.entity,PhoneNumber,21,3,0,0,9,1,6,1,6,1
Projeto-Queijos-Finos,com.example.demo.entity,Transfer,98,3,14,0,35,1,21,1,14,1
Projeto-Queijos-Finos,com.example.demo.entity,Producer,147,33,14,0,56,7,35,1,28,1
Projeto-Queijos-Finos,com.example.demo.entity,Document,114,3,20,0,32,1,25,1,15,1
Projeto-Queijos-Finos,com.example.demo.entity,Technology,84,12,14,0,29,3,17,1,10,1
Projeto-Queijos-Finos,com.example.demo.entity,Contract,98,3,14,0,35,1,21,1,14,1
Projeto-Queijos-Finos,com.example.demo.entity,User,109,3,14,0,39,2,20,1,13,1
Projeto-Queijos-Finos,com.example.demo.entity,Address,56,3,0,0,24,1,16,1,16,1
Projeto-Queijos-Finos,com.example.demo.repository,ProducerRepositoryCustom,395,3,46,0,72,1,26,1,3,1
Projeto-Queijos-Finos,com.example.demo,ProjetoQueijosFinosApplication,5,3,0,0,2,1,1,1,1,1
Projeto-Queijos-Finos,com.example.demo.dtos,ProducerFilterDto,56,0,0,0,24,0,12,0,12,0
Projeto-Queijos-Finos,com.example.demo.dtos,ProducerDto,164,0,0,0,70,0,47,0,47,0
